"url","Name","Name_link"
"https://www.city-data.com/city/Alabama.html","Birmingham, AL","https://www.city-data.com/city/Birmingham-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Black",""
"https://www.city-data.com/city/Alabama.html","Blountsville, AL",""
"https://www.city-data.com/city/Alabama.html","Blue Mountain, AL",""
"https://www.city-data.com/city/Alabama.html","Blue Ridge, AL",""
"https://www.city-data.com/city/Alabama.html","Boaz, AL","https://www.city-data.com/city/Boaz-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Boligee",""
"https://www.city-data.com/city/Alabama.html","Boykin, AL",""
"https://www.city-data.com/city/Alabama.html","Braggs-Prairie Hill",""
"https://www.city-data.com/city/Alabama.html","Branchville, AL",""
"https://www.city-data.com/city/Alabama.html","Brantleyville",""
"https://www.city-data.com/city/Alabama.html","Brantley",""
"https://www.city-data.com/city/Alabama.html","Bremen, AL","https://www.city-data.com/city/Bremen-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Brent, AL",""
"https://www.city-data.com/city/Alabama.html","Brewton, AL",""
"https://www.city-data.com/city/Alabama.html","Bridgeport, AL",""
"https://www.city-data.com/city/Alabama.html","Brighton, AL",""
"https://www.city-data.com/city/Alabama.html","Brilliant, AL",""
"https://www.city-data.com/city/Alabama.html","Bristow Cove",""
"https://www.city-data.com/city/Alabama.html","Brook Highland","https://www.city-data.com/city/Brook-Highland-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Brookside, AL",""
"https://www.city-data.com/city/Alabama.html","Brooksville, AL",""
"https://www.city-data.com/city/Alabama.html","Brookwood",""
"https://www.city-data.com/city/Alabama.html","Brundidge",""
"https://www.city-data.com/city/Alabama.html","Butler, AL",""
"https://www.city-data.com/city/Alabama.html","Bynum, AL",""
"https://www.city-data.com/city/Alabama.html","Cahaba Heights",""
"https://www.city-data.com/city/Alabama.html","Calera, AL","https://www.city-data.com/city/Calera-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Calvert, AL",""
"https://www.city-data.com/city/Alabama.html","Camden, AL",""
"https://www.city-data.com/city/Alabama.html","Camp Hill, AL",""
"https://www.city-data.com/city/Alabama.html","Carbon Hill, AL",""
"https://www.city-data.com/city/Alabama.html","Carlisle-Rockledge",""
"https://www.city-data.com/city/Alabama.html","Carlowville",""
"https://www.city-data.com/city/Alabama.html","Carolina, AL",""
"https://www.city-data.com/city/Alabama.html","Carrollton, AL",""
"https://www.city-data.com/city/Alabama.html","Castleberry",""
"https://www.city-data.com/city/Alabama.html","Cedar Bluff, AL",""
"https://www.city-data.com/city/Alabama.html","Center Point, AL","https://www.city-data.com/city/Center-Point-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Centreville, AL",""
"https://www.city-data.com/city/Alabama.html","Centre",""
"https://www.city-data.com/city/Alabama.html","Chalkville",""
"https://www.city-data.com/city/Alabama.html","Chapman, AL",""
"https://www.city-data.com/city/Alabama.html","Chatom",""
"https://www.city-data.com/city/Alabama.html","Chelsea, AL","https://www.city-data.com/city/Chelsea-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Cherokee, AL",""
"https://www.city-data.com/city/Alabama.html","Chickasaw, AL",""
"https://www.city-data.com/city/Alabama.html","Childersburg",""
"https://www.city-data.com/city/Alabama.html","Choccolocco",""
"https://www.city-data.com/city/Alabama.html","Chunchula",""
"https://www.city-data.com/city/Alabama.html","Citronelle",""
"https://www.city-data.com/city/Alabama.html","Clanton","https://www.city-data.com/city/Clanton-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Clarence, AL",""
"https://www.city-data.com/city/Alabama.html","Clayhatchee",""
"https://www.city-data.com/city/Alabama.html","Clayton, AL",""
"https://www.city-data.com/city/Alabama.html","Clay, AL","https://www.city-data.com/city/Clay-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Cleveland, AL",""
"https://www.city-data.com/city/Alabama.html","Clio, AL",""
"https://www.city-data.com/city/Alabama.html","Cloverdale, AL","https://www.city-data.com/city/Cloverdale-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Coaling",""
"https://www.city-data.com/city/Alabama.html","Coats Bend",""
"https://www.city-data.com/city/Alabama.html","Coffee Springs",""
